seed,dataset,noise_type,noise_level,frame_mode,estimator_label,permuted,k,g_hat,trace_cov_B,fve,num_graphs,n
42,sbm_d0.00,gaussian,0.05,frechet,knn_1d,False,8,0.694251537322998,6.285984516143799,0.1104443600743855,200,50
42,sbm_d0.00,gaussian,0.05,frechet,knn_1d,True,8,0.615616500377655,6.285984516143799,0.0979347783623417,200,50
42,sbm_d0.00,gaussian,0.05,frechet,knn_1d,False,16,2.139503240585327,20.70670318603516,0.1033241854757561,200,50
42,sbm_d0.00,gaussian,0.05,frechet,knn_1d,True,16,2.008091926574707,20.70670318603516,0.0969778679171384,200,50
42,sbm_d0.00,gaussian,0.05,frechet,knn_1d,False,32,9.090208053588867,91.8730010986328,0.0989431927213286,200,50
42,sbm_d0.00,gaussian,0.05,frechet,knn_1d,True,32,8.846233367919922,91.8730010986328,0.0962876281620843,200,50
42,sbm_d0.00,gaussian,0.05,frechet,bin_1d,False,4,0.1395588549785316,2.4070379734039307,0.0579794986703817,200,50
42,sbm_d0.00,gaussian,0.05,frechet,bin_1d,True,4,0.0405513979494571,2.4070379734039307,0.0168470121358788,200,50
42,sbm_d0.00,gaussian,0.05,frechet,bin_1d,False,8,0.2186598889529705,6.285984516143799,0.0347853050530753,200,50
42,sbm_d0.00,gaussian,0.05,frechet,bin_1d,True,8,0.0933671798557043,6.285984516143799,0.0148532309642056,200,50
42,sbm_d0.00,gaussian,0.05,frechet,bin_1d,False,16,0.4628745019435882,20.70670318603516,0.02235384830627,200,50
42,sbm_d0.00,gaussian,0.05,frechet,bin_1d,True,16,0.3514438420534134,20.70670318603516,0.0169724672680116,200,50
42,sbm_d0.00,gaussian,0.05,frechet,bin_1d,False,32,1.5861883461475372,91.8730010986328,0.0172650106906232,200,50
42,sbm_d0.00,gaussian,0.05,frechet,bin_1d,True,32,1.3881620168685913,91.8730010986328,0.0151095751773504,200,50
42,sbm_d0.00,gaussian,0.05,frechet,invariants_knn,False,4,221.5243225097656,341.9721374511719,0.6477847118214294,200,50
42,sbm_d0.00,gaussian,0.05,frechet,invariants_knn,True,4,36.26724624633789,341.9721374511719,0.106053219764187,200,50
42,sbm_d0.00,gaussian,0.05,frechet,invariants_knn,False,8,207.65499877929688,353.9435119628906,0.5866896602446228,200,50
42,sbm_d0.00,gaussian,0.05,frechet,invariants_knn,True,8,37.63652801513672,353.9435119628906,0.1063348436772101,200,50
42,sbm_d0.00,gaussian,0.05,frechet,invariants_knn,False,16,194.7489471435547,342.5201110839844,0.5685766786867681,200,50
42,sbm_d0.00,gaussian,0.05,frechet,invariants_knn,True,16,31.204669952392575,342.5201110839844,0.0911031759672101,200,50
42,sbm_d0.00,gaussian,0.05,frechet,invariants_knn,False,32,187.40318298339844,356.8727722167969,0.5251260325053679,200,50
42,sbm_d0.00,gaussian,0.05,frechet,invariants_knn,True,32,30.89097213745117,356.8727722167969,0.0865601820659077,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_top_k,False,4,0.4450771808624267,2.4508919715881348,0.1815980410487144,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_top_k,True,4,0.2425654381513595,2.4508919715881348,0.0989702691768097,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_top_k,False,8,0.861464262008667,6.541366100311279,0.1316948552944732,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_top_k,True,8,0.6378244161605835,6.541366100311279,0.0975063016470262,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_top_k,False,16,2.255204200744629,21.615623474121094,0.1043321375136197,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_top_k,True,16,2.150261878967285,21.615623474121094,0.0994772083045231,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_top_k,False,32,9.1602201461792,94.18518829345705,0.0972575445476446,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_top_k,True,32,8.94217586517334,94.18518829345705,0.0949424854077033,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_1d,False,4,0.3297335803508758,2.4508919715881348,0.134536154254573,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_1d,True,4,0.2553323805332184,2.4508919715881348,0.1041793695899895,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_1d,False,8,0.7375948429107666,6.541366100311279,0.1127585326367327,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_1d,True,8,0.6439595818519592,6.541366100311279,0.0984442044638528,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_1d,False,16,2.1827280521392822,21.615623474121094,0.1009791854837087,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_1d,True,16,2.1671030521392822,21.615623474121094,0.100256328702885,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_1d,False,32,9.220989227294922,94.18518829345705,0.0979027530163731,200,50
42,sbm_d0.00,gaussian,0.1,frechet,knn_1d,True,32,9.099801063537598,94.18518829345705,0.0966160521459588,200,50
42,sbm_d0.00,gaussian,0.1,frechet,bin_1d,False,4,0.1261932151392102,2.4508919715881348,0.0514886892617463,200,50
42,sbm_d0.00,gaussian,0.1,frechet,bin_1d,True,4,0.0375000457279384,2.4508919715881348,0.015300570634143,200,50
42,sbm_d0.00,gaussian,0.1,frechet,bin_1d,False,8,0.202077567577362,6.541366100311279,0.0308922577453272,200,50
42,sbm_d0.00,gaussian,0.1,frechet,bin_1d,True,8,0.0957508720457553,6.541366100311279,0.0146377485340866,200,50
42,sbm_d0.00,gaussian,0.1,frechet,bin_1d,False,16,0.4210677072405815,21.615623474121094,0.019479785431343,200,50
42,sbm_d0.00,gaussian,0.1,frechet,bin_1d,True,16,0.346985712647438,21.615623474121094,0.0160525424151128,200,50
42,sbm_d0.00,gaussian,0.1,frechet,bin_1d,False,32,1.5188844799995422,94.18518829345705,0.0161265747568193,200,50
42,sbm_d0.00,gaussian,0.1,frechet,bin_1d,True,32,1.4750922620296478,94.18518829345705,0.0156616161071275,200,50
42,sbm_d0.00,gaussian,0.1,frechet,invariants_knn,False,4,207.0219573974609,343.0477294921875,0.6034785821317485,200,50
42,sbm_d0.00,gaussian,0.1,frechet,invariants_knn,True,4,37.01353454589844,343.0477294921875,0.1078961653548602,200,50
42,sbm_d0.00,gaussian,0.1,frechet,invariants_knn,False,8,191.3710784912109,356.6897277832031,0.5365197357394232,200,50
42,sbm_d0.00,gaussian,0.1,frechet,invariants_knn,True,8,33.45137023925781,356.6897277832031,0.0937828247736633,200,50
42,sbm_d0.00,gaussian,0.1,frechet,invariants_knn,False,16,182.1725006103516,344.2102355957031,0.5292477729346922,200,50
42,sbm_d0.00,gaussian,0.1,frechet,invariants_knn,True,16,28.6038818359375,344.2102355957031,0.0831000327065653,200,50
42,sbm_d0.00,gaussian,0.1,frechet,invariants_knn,False,32,188.6552734375,360.6278381347656,0.5231300900486779,200,50
42,sbm_d0.00,gaussian,0.1,frechet,invariants_knn,True,32,26.544771194458008,360.6278381347656,0.0736071051301877,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_top_k,False,4,0.4556546807289123,2.524115562438965,0.1805205306402965,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_top_k,True,4,0.2444127649068832,2.524115562438965,0.0968310518519666,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_top_k,False,8,0.8837726712226868,6.896198749542236,0.1281535963970514,200,50
42,sbm_d0.00,gaussian,0.15,frechet,knn_top_k,True,8,0.6548902988433838,6.896198749542236,0.0949639537124499,200,50
