feature,importance_impurity_mse,importance_perm_mse,importance_perm_std_mse,importance_impurity_subspace,importance_perm_subspace,importance_perm_std_subspace
stage,0.5059586198198559,0.7577715213394722,0.02832365630537165,0.5336414545507187,0.9105746864716326,0.0248441257208478
model_type,0.22035298212299972,0.4963401428884701,0.023230945959999576,0.2834248060905668,0.3600695183451607,0.018863991041372933
lr,0.1491551162895362,0.13586817318287567,0.01029201916373458,0.049769935842924905,0.1408520445872447,0.014824958803424491
wd,0.05657040895131897,0.04956362041231792,0.0032160513528969015,0.01595880406570201,0.00195724484561951,0.001089030475397127
arch,0.03901330254480474,0.03952247148234572,0.0034594132898033256,0.07589194518526052,0.07217031990317291,0.004805720900048076
k,0.019670917878319507,0.01263133321271812,0.0011521440849024643,0.04014269757694437,0.0260345327064484,0.0035085214877267723
asymmetric,0.009278652393165021,0.00030951351470039914,0.0011903764913149069,0.0011703566878828462,2.4637020839191058e-05,3.4106036381678244e-05
