dataset,variant,run_id,wandb_project,n_max,total_parameters,batch_size,eval_every_n_steps,runtime_s,final_step,n_val_cycles,n_history_points,train_step_p25,train_step_med,train_step_p75,train_step_mean,train_step_min,amortized_step_s,val_time_total_s,val_per_cycle_s,train_ratio_vs_vignac,val_ratio_vs_vignac,amortized_ratio_vs_vignac
enzymes,vignac,8nhefhnl,discrete-enzymes-vignac-repro-exact,126,7131395,12,75000,63721.0,503249,6,10124,0.10236897692084312,0.10680774599313736,0.12090238742530346,0.1218428460315182,0.0923931896686554,0.12661922825480032,9970.108636699617,1661.6847727832694,1.0,1.0,1.0
enzymes,pearl,7yi627fv,discrete-enzymes-pearl-repro-exact,126,7156627,12,75000,63744.858767296,374999,4,7515,0.14506198465824127,0.14982560276985168,0.16155079752206802,0.1646747465579413,0.12864172458648682,0.1699867433441049,7560.4075542043865,1890.1018885510966,1.4027597097637312,1.1374611596068465,1.3425033913651299
enzymes,pearl-spectral,ths6e1da,discrete-enzymes-pearl-spectral-repro-exact,126,5694355,12,75000,63821.0,314649,4,6305,0.17441688477993011,0.18134428560733795,0.19657135009765625,0.1963770334300874,0.15246732532978058,0.20283236241017769,6761.201877936721,1690.3004694841802,1.6978570600955265,1.0172208936192997,1.6019080609306116
enzymes,pearl-gnnconv-norm,xsmz6yql,discrete-enzymes-pearl-gnnconv-norm-repro-exact,126,11869075,12,75000,63849.0,444149,5,8898,0.1215736698359251,0.12770871818065643,0.1374359205365181,0.13911021594188405,0.11049322783946991,0.1437558116758115,7127.300528779626,1425.4601057559253,1.1956877939251898,0.8578402649549016,1.1353395029902302
sbm,vignac,cgfv3f85,discrete-sbm-vignac-repro-exact,200,7131395,12,4400,63929.0,114289,25,2295,0.5090658366680145,0.5126270055770874,0.5175516605377197,0.5183227994603009,0.49877095222473145,0.5593626683232857,5341.372159600258,213.65488638401033,1.0,1.0,1.0
sbm,pearl,k4iiw5sg,discrete-sbm-pearl-repro-exact,200,7156627,12,4400,63913.0,120459,27,2412,0.4842763915657997,0.48566393554210663,0.4882407709956169,0.49371508413780585,0.47847503423690796,0.5305788691588009,5410.407988533378,200.38548105679178,0.9474021662112256,0.9378932747488447,0.9485417944483755
sbm,pearl-spectral,qukgm6zu,discrete-sbm-pearl-spectral-repro-exact,200,5694355,12,4400,63913.0,111479,25,2232,0.5248074233531952,0.5277376472949982,0.5311010181903839,0.5344595818056,0.5147612690925598,0.5733187416464087,5081.334817200899,203.25339268803597,1.0294768741278078,0.9513163781460193,1.0249499548565815
sbm,pearl-gnnconv-norm,5qchu8c4,discrete-sbm-pearl-gnnconv-norm-repro-exact,200,11869075,12,4400,63842.0,121349,27,2429,0.4848163425922394,0.48745277523994446,0.4905822277069092,0.4932195244501922,0.4791627526283264,0.5261023988660805,4690.09317740798,173.70715471881408,0.9508917203673202,0.8130268287269751,0.9405389895666358
